case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,8,32,1.0003019639298873,1.0012937884908377,0.04382121821318416,1.1399493144564945,6.496745654219114,0.05691061609346226,1.8803002731384146e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,10,40,1.000253522432843,1.0000293111626857,0.0009183749829912549,1.1398941102748192,6.4885412813557695,0.0011926935904107427,1.8868318485057874e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,12,48,1.000005631973086,1.0000022301819318,8.145389724056679e-05,1.1396116130191405,6.488365570444499,0.00010578417634632409,1.889296944165036e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,16,64,1.000000000000005,1.0000000000878342,2.5633995580699e-09,1.1396051947933605,6.488351100811008,3.3290870060653788e-09,1.8912367590313022e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,4,16,1.4910273441435522,1.110842963277748,0.8132251462755736,1.6991825069649311,7.207539162978269,1.0561354974680874,1.4164199901001582e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,6,24,1.228989707002875,1.0224936831100409,0.5182663327040768,1.4005630544480394,6.6342980137966165,0.6730724862827846,1.5391454568403092e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,8,32,1.0027417695565948,1.0009916849088352,0.009172022867128494,1.1427297296229764,6.494785500110442,0.011911706097539776,1.553155709797744e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,10,40,1.000031365132758,1.0000099158267768,0.00017567253664961606,1.1396409386615811,6.488415437606685,0.00022814592334685635,1.5610408496963294e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,12,48,1.0000000034658971,1.0000001046721525,1.7206977275060808e-06,1.139605198743109,6.488351779390784,2.234670138712147e-06,1.56240434790095e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,16,64,0.9999999999999998,1.0000000000053253,1.0768932523266384e-10,1.1396051947933545,6.488351100275661,1.3985612667966052e-10,1.563774942690442e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,4,16,1.960849761491911,1.1376521922749678,1.538468156237037,2.2345945744054925,7.381486853438997,1.9980085945050399,1.5133943049795834e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,6,24,1.2409068526082474,1.0279424759769773,0.5701831505503946,1.4141438954870305,6.669651694989789,0.7404968576197974,1.5295225837121838e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,8,32,1.2408300060626103,1.0120294954474731,0.5371781316566143,1.4140563207644206,6.5664026902630654,0.6976332395824449,1.5341844523345443e-15
