case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
scalar_block,2231,60,1,6,6,0.20000000000000004,8,8,1.125941288635338,1.014335970006893,0.41643043386125356,1.125941288635338,5.336120660824575,0.41643043386125356,7.521724404902073e-16
scalar_block,2231,60,1,6,6,0.20000000000000004,10,10,1.0755171568344126,1.004485397695285,0.20291563574168292,1.0755171568344126,5.28429972181897,0.20291563574168292,7.698078666995704e-16
scalar_block,2231,60,1,6,6,0.20000000000000004,12,12,1.0117878982522062,1.0007776157555586,0.028919655616965967,1.0117878982522062,5.2647941808547944,0.028919655616965967,7.727071065989541e-16
scalar_block,2231,60,1,6,6,0.20000000000000004,16,16,1.0000034103351387,1.0000008971196954,3.053158176946624e-05,1.0000034103351387,5.260708094505665,3.053158176946624e-05,7.742021128647652e-16
scalar_block,2231,60,1,6,6,0.20000000000000004,20,20,1.000000000091909,1.0000000004104082,1.2708831542695975e-08,1.000000000091909,5.2607033771840905,1.2708831542695975e-08,7.751679035240786e-16
rank_equals_kprime,2329,80,4,24,24,0.13913043478260861,6,24,,,,1.8911018070730554,3.289558512932901,1.8954265640467174,1.1357655477993957e-15
rank_equals_kprime,2329,80,4,24,24,0.13913043478260861,7,28,,,,3.721569806856365e-13,4.293263861615542e-13,1.7763568394002505e-14,1.3329013916415292e-15
rank_equals_kprime,2329,80,4,24,24,0.13913043478260861,8,28,,,,3.721569806856365e-13,4.293263861615542e-13,1.7763568394002505e-14,1.3329013916415292e-15
rank_equals_kprime,2330,80,4,24,24,0.13913043478260861,6,24,,,,1.886788871162253,3.193226053366786,1.5969523359088744,1.377114001413261e-15
rank_equals_kprime,2330,80,4,24,24,0.13913043478260861,7,28,,,,2.373940450967235e-10,2.3739420581154815e-10,6.661338147750939e-15,5.284823902637798e-14
rank_equals_kprime,2330,80,4,24,24,0.13913043478260861,8,29,,,,2.5308874968344213e-13,2.971720785515856e-13,1.2434497875801753e-14,5.284825144072665e-14
rank_equals_kprime,2331,80,4,24,24,0.13913043478260861,6,24,,,,1.8609031266003997,3.383687994772054,1.9271605367884943,1.3080276938751119e-15
rank_equals_kprime,2331,80,4,24,24,0.13913043478260861,7,28,,,,2.266485347887514e-12,2.2694333131927127e-12,1.0658141036401503e-14,4.261495755159976e-15
rank_equals_kprime,2331,80,4,24,24,0.13913043478260861,8,29,,,,1.0194697782846271e-13,1.1600878985064683e-13,8.881784197001252e-15,4.264574005565119e-15
