n,k,nu,strategy,trial,seed,t,potential,expectation_upper_bound,kernel_trace,orthogonality_error,total_queries_in_run
72,1,2,random,5,722249,18,0.481009575804746,2.0,0.3088533878358763,8.972953863545995e-16,18
72,1,2,random,6,722250,0,0.0,0.0,0.0,0.0,18
72,1,2,random,6,722250,1,0.0555276064537015,0.1111111111111111,0.028549099701055083,6.661338147750939e-16,18
72,1,2,random,6,722250,2,0.06807972120560637,0.2222222222222222,0.03522532134651671,4.442794376813661e-16,18
72,1,2,random,6,722250,3,0.08128809400057835,0.3333333333333333,0.04234167116058784,4.442794830903718e-16,18
72,1,2,random,6,722250,4,0.10211528664970898,0.4444444444444444,0.05375557280886902,4.44298475349447e-16,18
72,1,2,random,6,722250,5,0.12817934598481548,0.5555555555555556,0.06837842859716019,4.442984861401305e-16,18
72,1,2,random,6,722250,6,0.131802336266094,0.6666666666666666,0.07044139291334144,4.508072644249313e-16,18
72,1,2,random,6,722250,7,0.1818148797659835,0.7777777777777778,0.09969607078669473,4.511901675398441e-16,18
72,1,2,random,6,722250,8,0.2403059100478515,0.8888888888888888,0.1358190488491165,5.587997375832849e-16,18
72,1,2,random,6,722250,9,0.25807866044745864,1.0,0.14722031794965873,5.618945330655222e-16,18
72,1,2,random,6,722250,10,0.26224650114745685,1.1111111111111112,0.14992345834896564,5.620064538444e-16,18
72,1,2,random,6,722250,11,0.2904116047343439,1.2222222222222223,0.16848884056496305,5.656247770763623e-16,18
72,1,2,random,6,722250,12,0.2956834942419991,1.3333333333333333,0.17202234581030063,5.617335700016476e-16,18
72,1,2,random,6,722250,13,0.29731102892368666,1.4444444444444444,0.17311697601766127,5.61750255318399e-16,18
72,1,2,random,6,722250,14,0.30103408674826426,1.5555555555555556,0.17562770032784575,5.617979090239631e-16,18
72,1,2,random,6,722250,15,0.31967953901373886,1.6666666666666667,0.18834325965953658,5.632232899482806e-16,18
72,1,2,random,6,722250,16,0.39553675401402766,1.7777777777777777,0.2425905769805858,5.713841266044348e-16,18
72,1,2,random,6,722250,17,0.40163016440560023,1.8888888888888888,0.24712930022731597,5.727106427309816e-16,18
72,1,2,random,6,722250,18,0.40259518664154925,2.0,0.24785064461587133,5.736681293571575e-16,18
72,1,2,random,7,722251,0,0.0,0.0,0.0,0.0,18
72,1,2,random,7,722251,1,0.029264940514859977,0.1111111111111111,0.01484868344491854,0.0,18
72,1,2,random,7,722251,2,0.031825727762751777,0.2222222222222222,0.016168790923878917,4.44224793218976e-16,18
72,1,2,random,7,722251,3,0.06660282855011092,0.3333333333333333,0.03443543443305133,4.446561983675249e-16,18
72,1,2,random,7,722251,4,0.12065531718050405,0.4444444444444444,0.06411798089326892,4.47160372320554e-16,18
72,1,2,random,7,722251,5,0.12065533769024726,0.5555555555555556,0.0641179924631842,4.473375553857311e-16,18
72,1,2,random,7,722251,6,0.12071802080189427,0.6666666666666666,0.06415335424256928,4.553783187139113e-16,18
72,1,2,random,7,722251,7,0.12354405127813138,0.7777777777777778,0.0657499237293673,4.5541755111056e-16,18
72,1,2,random,7,722251,8,0.16881153109069041,0.8888888888888888,0.09194849506093067,4.554188340218311e-16,18
72,1,2,random,7,722251,9,0.17896082319994483,1.0,0.09798694441007733,4.57642278290534e-16,18
72,1,2,random,7,722251,10,0.1790649777683986,1.1111111111111112,0.09804923072585936,4.577361046124971e-16,18
72,1,2,random,7,722251,11,0.18513620335186468,1.2222222222222223,0.10169116683671893,5.685141899416801e-16,18
72,1,2,random,7,722251,12,0.2225940818326375,1.3333333333333333,0.12465667590571138,5.75733018560986e-16,18
72,1,2,random,7,722251,13,0.3202698268560502,1.4444444444444444,0.18874970026372268,5.78581500596006e-16,18
72,1,2,random,7,722251,14,0.3446815489923204,1.5555555555555556,0.2057701708214971,5.789034598921589e-16,18
72,1,2,random,7,722251,15,0.346432037878542,1.6666666666666667,0.2070066956074468,5.791427855982039e-16,18
72,1,2,random,7,722251,16,0.3587341743959569,1.7777777777777777,0.21575810866310663,5.725227319273987e-16,18
72,1,2,random,7,722251,17,0.37024267780351494,1.8888888888888888,0.22404299517674978,5.730570634477038e-16,18
72,1,2,random,7,722251,18,0.3703161183291238,2.0,0.22409617122749345,5.735948545846914e-16,18
72,1,2,krylov,0,722252,0,0.0,0.0,0.0,0.0,18
72,1,2,krylov,0,722252,1,0.006004783967082116,0.1111111111111111,0.0030114244113727223,2.220446049250313e-16,18
72,1,2,krylov,0,722252,2,0.011926602999440178,0.2222222222222222,0.005999004260867941,1.273892328361343e-16,18
72,1,2,krylov,0,722252,3,0.021226505543923482,0.3333333333333333,0.01072669514627822,2.910579892444767e-16,18
72,1,2,krylov,0,722252,4,0.031344400214626957,0.4444444444444444,0.01592040444774729,2.939173117077154e-16,18
72,1,2,krylov,0,722252,5,0.0383896521352415,0.5555555555555556,0.019568027793112622,4.532742282747529e-16,18
72,1,2,krylov,0,722252,6,0.044493289355766644,0.6666666666666666,0.022748980361026638,4.539107221948223e-16,18
72,1,2,krylov,0,722252,7,0.05052207720872227,0.7777777777777778,0.02591004217510768,4.540153612820863e-16,18
72,1,2,krylov,0,722252,8,0.056964833062104744,0.8888888888888888,0.02930929068349143,4.671671830332463e-16,18
72,1,2,krylov,0,722252,9,0.06369373239388244,1.0,0.032882969594592096,4.671848342009254e-16,18
72,1,2,krylov,0,722252,10,0.07059772977410597,1.1111111111111112,0.03657472147931928,4.67634201842199e-16,18
72,1,2,krylov,0,722252,11,0.07711872336250107,1.2222222222222223,0.040085155115788966,4.721286803150731e-16,18
72,1,2,krylov,0,722252,12,0.0868845055921063,1.3333333333333333,0.045385347263806566,4.8851996176383915e-16,18
72,1,2,krylov,0,722252,13,0.09765915751080269,1.4444444444444444,0.051293456293820566,5.648809231327249e-16,18
72,1,2,krylov,0,722252,14,0.1092857710186274,1.5555555555555556,0.057740538480742995,5.650004405192372e-16,18
72,1,2,krylov,0,722252,15,0.1262103795563726,1.6666666666666667,0.06726041158278179,7.182116094771108e-16,18
