n,r,s,eta,exact_probability,proved_bound,ratio
400,4,1,0.1,0.057333225886003286,0.9048374180359595,0.06336301388867274
5,4,1,0.2,0.022966656243073737,0.8187307530779818,0.028051537281006747
8,4,1,0.2,0.07881348722971894,0.8187307530779818,0.09626301068260004
16,4,1,0.2,0.11333382935932948,0.8187307530779818,0.13842625177233905
20,4,1,0.2,0.11420075679590477,0.8187307530779818,0.13948511933449687
200,4,1,0.2,0.010592871912973399,0.8187307530779818,0.012938162971343104
5,4,1,0.4,0.011996757205906265,0.6703200460356393,0.01789705869137684
8,4,1,0.4,0.03376896818565569,0.6703200460356393,0.05037738075322347
10,4,1,0.4,0.036406661001083425,0.6703200460356393,0.05431235604006951
16,4,1,0.4,0.030789275359657444,0.6703200460356393,0.04593220140401478
100,4,1,0.4,0.00021279646940106106,0.6703200460356393,0.00031745502862336774
5,4,1,0.8,0.0008861387888124423,0.44932896411722156,0.0019721381428268337
8,4,1,0.8,0.0007762513762070155,0.44932896411722156,0.0017275792085473171
16,4,1,0.8,3.6978867906171055e-05,0.44932896411722156,8.229798401450024e-05
50,4,1,0.8,2.9133076425403886e-11,0.44932896411722156,6.483685395763539e-11
5,4,2,0.03,0.0032203453869908403,0.9417645335842487,0.0034194804244056334
8,4,2,0.03,0.04430797119822325,0.9417645335842487,0.04704782312155264
16,4,2,0.03,0.13071741350984728,0.9417645335842487,0.13880052693463796
134,4,2,0.03,0.2522571379086815,0.9417645335842487,0.2678558481583709
1334,4,2,0.03,0.11386199216903223,0.9417645335842487,0.12090282454753996
5,4,2,0.05,0.0029493124018664866,0.9048374180359595,0.0032594942948626785
8,4,2,0.05,0.04010737768615469,0.9048374180359595,0.04432550741901432
16,4,2,0.05,0.11549779760312191,0.9048374180359595,0.1276448070127576
80,4,2,0.05,0.19364352311630914,0.9048374180359595,0.21400919022185427
800,4,2,0.05,0.05868327327126784,0.9048374180359595,0.0648550469968912
5,4,2,0.1,0.0023441225662776256,0.8187307530779818,0.0028631177679169875
8,4,2,0.1,0.030789275359657444,0.8187307530779818,0.03760610584603856
16,4,2,0.1,0.08232069073178161,0.8187307530779818,0.10054671871344839
40,4,2,0.1,0.10862224144664454,0.8187307530779818,0.13267150530047156
400,4,2,0.1,0.01229336400787492,0.8187307530779818,0.015015148706285389
5,4,2,0.2,0.001411310145886735,0.6703200460356393,0.0021054273316655353
8,4,2,0.2,0.016829841748957533,0.6703200460356393,0.025107173578489
16,4,2,0.2,0.03620240810553753,0.6703200460356393,0.0540076465259294
20,4,2,0.2,0.03748284524042072,0.6703200460356393,0.05591783426752517
200,4,2,0.2,0.000512974991004026,0.6703200460356393,0.0007652687608521144
5,4,2,0.4,0.0003944860183402557,0.44932896411722156,0.0008779447795342692
8,4,2,0.4,0.003338616949228422,0.44932896411722156,0.007430228665066512
