b,t,m,case,seed,delta,raw_krylov_condition,f,descent_norm,deterministic_alpha,derivative_relative_error,finite_difference_relative_error,moment_relative_residual,translation_relative_residual,log10_interpolation_bound_margin
3,1,3,geometric,11,1.0,12.316716229333997,0.19921318322415785,1.0000000000000009,6.103559983113901e-05,2.220446049250311e-16,7.158718062783003e-13,0.0,1.7845051711630848e-16,16.882512460356036
3,1,3,geometric,29,1.0,8.70391735094234,0.38265647118278506,0.9999999999999998,8.637009437203986e-05,4.440892098500626e-16,2.727040815386772e-12,0.0,8.900744474689444e-17,17.166003447415413
3,1,3,repeated,11,1.0,12.316716229333997,0.19921318322415785,1.0000000000000009,6.103559983113901e-05,2.220446049250311e-16,7.158718062783003e-13,0.0,1.7845051711630848e-16,16.882512460356036
3,1,3,repeated,29,1.0,8.70391735094234,0.38265647118278506,0.9999999999999998,8.637009437203986e-05,4.440892098500626e-16,2.727040815386772e-12,0.0,8.900744474689444e-17,17.166003447415413
3,1,3,wide_bands,11,1.0,12.316716229333997,0.19921318322415785,1.0000000000000009,6.103559983113901e-05,2.220446049250311e-16,7.158718062783003e-13,0.0,1.7845051711630848e-16,16.882512460356036
3,1,3,wide_bands,29,1.0,8.70391735094234,0.38265647118278506,0.9999999999999998,8.637009437203986e-05,4.440892098500626e-16,2.727040815386772e-12,0.0,8.900744474689444e-17,17.166003447415413
3,2,6,geometric,11,0.6988057880877978,102.64861552800643,0.07560560990472953,0.5184139026608333,1.5868765568456152e-08,9.992007221626409e-16,6.956548239678284e-07,3.703084156707529e-17,2.575909750302939e-15,21.722779836249053
3,2,6,geometric,29,0.6988057880877978,2582.232090850671,0.01231972367353253,1.9986660294509515,9.085588441432654e-10,1.9997352382821633e-14,1.0506513956732596e-06,3.9191100688090847e-17,3.6797947023776446e-14,20.93482678196918
3,2,6,repeated,11,0.8646647167633873,48.25626624661358,0.10883074385434358,0.8631878410785243,2.429548832644018e-08,0.0,1.47686798457336e-07,6.124813904311763e-17,6.14181691309062e-16,21.695994924370773
3,2,6,repeated,29,0.8646647167633873,523.3130340378444,0.0737078167368431,6.16517375413389,1.3910269640409225e-09,2.881276197948456e-16,3.610059105467412e-06,1.8283842737222035e-16,2.715198857712511e-14,21.526756874166782
3,2,6,wide_bands,11,0.5034146962085905,103.69572897149273,0.05637397454317966,0.42537575796524113,8.235347639802712e-09,3.3306690738754696e-16,8.299346606066571e-07,7.197643817513643e-17,2.2783233581745436e-15,21.880165677585858
3,2,6,wide_bands,29,0.5034146962085905,1292.8851028555744,0.011032190027544854,1.032922673706237,4.715110258866256e-10,6.234051886692578e-15,4.828551018588934e-07,5.488597906780543e-17,1.9844927271352535e-14,21.171748756432944
3,3,9,geometric,11,0.5276334472589852,377.7986897934122,0.09152647473057784,0.2558925181073936,7.691090093149695e-12,6.661338147750939e-16,1.5795880529689832e-06,7.655545511622751e-17,6.043143424633917e-15,26.277723106890193
3,3,9,geometric,29,0.5276334472589852,296.49695627343584,0.15319501907128183,0.30175127100307847,1.4956914472115068e-11,1.4432899320127035e-15,1.3547983501727145e-06,1.6559689453689007e-16,1.012829824870661e-14,26.50142101669056
3,3,9,repeated,11,0.6321205588285577,102.86408475105434,0.3382306708709227,0.4483429609357163,1.3224848036664707e-11,3.885780586188048e-16,5.979003356026968e-06,1.0565972499922164e-16,3.2191782096597216e-15,26.609986567003865
3,3,9,repeated,29,0.6321205588285577,126.89178554669238,0.2181578356816598,0.5213379443223624,2.571845064814572e-11,8.881784197001252e-16,2.7813504700491265e-06,1.127656120534861e-16,3.443547041750872e-15,26.4195443963571
3,3,9,wide_bands,11,0.5034146962085905,191.1868108253802,0.14923014757853442,0.29994132068755097,6.679879275151093e-12,5.551115123125783e-17,8.648048083870208e-06,2.407828439924642e-16,3.9532979649967406e-15,26.551252225248767
3,3,9,wide_bands,29,0.5034146962085905,182.18057814080893,0.17341988517130588,0.3531730148622901,1.2990406014288812e-11,1.1102230246251565e-16,1.18234187772015e-05,8.847717319764877e-17,2.567584191535183e-15,26.616494551096967
