family,trial,n,k,epsilon,steps,queries,query_bound,residual_ratio,meets_target,orthogonality_error
slow_decay,8,96,4,0.1,4,40,40,1.0160931012794565,True,1.3213195891617473e-15
slow_decay,8,96,4,0.1,8,72,72,1.0000000000000158,True,1.7757095900742418e-15
slow_decay,9,96,4,0.1,2,24,24,1.0398360688221764,True,9.021836733155971e-16
slow_decay,9,96,4,0.1,4,40,40,1.0000474631271319,True,1.5747920551128887e-15
slow_decay,9,96,4,0.1,8,72,72,0.9999999999999999,True,3.0243714107052093e-15
slow_decay,10,96,4,0.1,2,24,24,1.0615915821482178,True,2.9716095888120806e-15
slow_decay,10,96,4,0.1,4,40,40,1.0209827333414832,True,2.9936066357010023e-15
slow_decay,10,96,4,0.1,8,72,72,0.9999999999999999,True,1.164576060549492e-15
slow_decay,11,96,4,0.1,2,24,24,1.0358501896791132,True,7.530263852432895e-16
slow_decay,11,96,4,0.1,4,40,40,1.000724252977004,True,1.3287569636281696e-15
slow_decay,11,96,4,0.1,8,72,72,0.9999999999999999,True,1.538642061621884e-15
slow_decay,12,96,4,0.1,2,24,24,1.052554370356676,True,2.562498770522617e-15
slow_decay,12,96,4,0.1,4,40,40,1.0000183178332431,True,1.0275577849091734e-15
slow_decay,12,96,4,0.1,8,72,72,1.0000000000000004,True,9.967914727507257e-16
slow_decay,13,96,4,0.1,2,24,24,1.0702506590787968,True,2.159513599826941e-15
slow_decay,13,96,4,0.1,4,40,40,1.003110734030107,True,2.401845157948022e-15
slow_decay,13,96,4,0.1,8,72,72,1.000000000000066,True,1.4721168087214069e-15
slow_decay,14,96,4,0.1,2,24,24,1.0179761341814137,True,1.9435598587832814e-15
slow_decay,14,96,4,0.1,4,40,40,1.001017629711308,True,1.6160921375945383e-15
slow_decay,14,96,4,0.1,8,72,72,1.000000000000012,True,1.179603800524571e-15
slow_decay,15,96,4,0.1,2,24,24,1.0694807081869717,True,1.8440924931032663e-15
slow_decay,15,96,4,0.1,4,40,40,1.0001882882321134,True,1.7401201773448154e-15
slow_decay,15,96,4,0.1,8,72,72,1.0000000000000002,True,3.5103311757794484e-15
slow_decay,16,96,4,0.1,2,24,24,1.0408534351377359,True,1.4609731575801897e-15
slow_decay,16,96,4,0.1,4,40,40,1.0001462528921234,True,1.3135096267491166e-15
slow_decay,16,96,4,0.1,8,72,72,1.0000000000000002,True,1.6506858816916881e-15
slow_decay,17,96,4,0.1,2,24,24,1.0147664823762903,True,1.4639033992271847e-15
slow_decay,17,96,4,0.1,4,40,40,1.0002675931994482,True,1.4808998785931083e-15
slow_decay,17,96,4,0.1,8,72,72,1.0,True,1.6903087578850088e-15
slow_decay,18,96,4,0.1,2,24,24,1.042824705492684,True,2.31569542236996e-15
slow_decay,18,96,4,0.1,4,40,40,1.000027572303817,True,1.3544929404873217e-15
slow_decay,18,96,4,0.1,8,72,72,0.9999999999999998,True,7.069790113085901e-16
slow_decay,19,96,4,0.1,2,24,24,1.0117610022887649,True,1.8378482578569623e-15
slow_decay,19,96,4,0.1,4,40,40,1.001212547663036,True,2.9618327258211846e-15
slow_decay,19,96,4,0.1,8,72,72,1.0000000000000042,True,1.0959255035775338e-15
slow_decay,20,96,4,0.1,2,24,24,1.0842983243427629,True,2.058771510195801e-15
slow_decay,20,96,4,0.1,4,40,40,1.0003966436114282,True,1.8222643095993618e-15
slow_decay,20,96,4,0.1,8,72,72,1.000000000000001,True,1.8347110119568133e-15
slow_decay,21,96,4,0.1,2,24,24,1.0460015016687019,True,6.945216672661304e-16
slow_decay,21,96,4,0.1,4,40,40,1.0069885960994875,True,2.191213264062427e-15
slow_decay,21,96,4,0.1,8,72,72,1.000000000000001,True,1.369402272674646e-15
slow_decay,22,96,4,0.1,2,24,24,1.0390057081574668,True,1.334690991871056e-15
slow_decay,22,96,4,0.1,4,40,40,1.0034150107174415,True,1.7421660555006348e-15
slow_decay,22,96,4,0.1,8,72,72,1.0000000000000009,True,1.1396500809129794e-15
slow_decay,23,96,4,0.1,2,24,24,1.0086297968180553,True,2.1413779145869947e-15
